Name,Priority,Topic,cc,Consumption
w1,3,devices/building540/NIRE_WeMo_cc_1/w1,NIRE_WeMo_cc_1,100
w2,5,devices/building540/NIRE_WeMo_cc_1/w2,NIRE_WeMo_cc_1,100
w3,3,devices/building540/NIRE_WeMo_cc_1/w3,NIRE_WeMo_cc_1,100
w4,4,devices/building540/NIRE_WeMo_cc_1/w4,NIRE_WeMo_cc_1,100
w5,1,devices/building540/NIRE_WeMo_cc_1/w5,NIRE_WeMo_cc_1,100
w6,1,devices/building540/NIRE_WeMo_cc_1/w6,NIRE_WeMo_cc_1,100
w7,1,devices/building540/NIRE_WeMo_cc_1/w7,NIRE_WeMo_cc_1,100
w8,1,devices/building540/NIRE_WeMo_cc_1/w8,NIRE_WeMo_cc_1,100
w9,1,devices/building540/NIRE_WeMo_cc_1/w9,NIRE_WeMo_cc_1,100
w10,1,devices/building540/NIRE_WeMo_cc_1/w10,NIRE_WeMo_cc_1,100
w11,1,devices/building540/NIRE_WeMo_cc_1/w11,NIRE_WeMo_cc_1,100
w12,1,devices/building540/NIRE_WeMo_cc_1/w12,NIRE_WeMo_cc_1,100
